,Processed,Project,baseline_window,cameraNoiseMat,dFF,dat_dir,mask,num_t_chunks,save_dir,singlePlane
65,True,Rongwei,20000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20191218,False,/nrs/ahrens/Rongwei/20200122/1_gad1b_gc6f_8dpf_TS10-plane20_20200122_161135/raw/,40,10,/nrs/ahrens/Ziqiang/Fish_Datasets/ZhangR/20200122/1_gad1b_gc6f_8dpf_TS10-plane20_20200122_161135/,True
66,True,Rongwei,20000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20191218,False,/nrs/ahrens/Rongwei/20200122/2_gad1b_gc6f_8dpf_TS1-plane8_20200122_234443/raw/,40,10,/nrs/ahrens/Ziqiang/Fish_Datasets/ZhangR/20200122/2_gad1b_gc6f_8dpf_TS1-plane8_20200122_234443/,True
67,True,Rongwei,20000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20191218,False,/nrs/ahrens/Rongwei/20200212/2_vglut2_GC6f_5dpf_TS1-plane10_20200212_231027/raw/,40,10,/nrs/ahrens/Ziqiang/Fish_Datasets/ZhangR/20200212/2_vglut2_GC6f_5dpf_TS1-plane10_20200212_231027/,True
68,True,Rongwei,20000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20191218,False,/nrs/ahrens/Rongwei/20200212/2_vglut2_GC6f_5dpf_TS2-plane9_20200212_233131/raw/,40,10,/nrs/ahrens/Ziqiang/Fish_Datasets/ZhangR/20200212/2_vglut2_GC6f_5dpf_TS2-plane9_20200212_233131/,True
69,True,Rongwei,20000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20191218,False,/nrs/ahrens/Rongwei/20200212/2_vglut2_GC6f_5dpf_TS3-plane8_20200212_234209/raw/,40,10,/nrs/ahrens/Ziqiang/Fish_Datasets/ZhangR/20200212/2_vglut2_GC6f_5dpf_TS3-plane8_20200212_234209/,True
70,True,Rongwei,20000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20191218,False,/nrs/ahrens/Rongwei/20200212/2_vglut2_GC6f_5dpf_TS4-plane7_20200212_235239/raw/,40,10,/nrs/ahrens/Ziqiang/Fish_Datasets/ZhangR/20200212/2_vglut2_GC6f_5dpf_TS4-plane7_20200212_235239/,True
71,True,Rongwei,20000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20191218,False,/nrs/ahrens/Rongwei/20200212/2_vglut2_GC6f_5dpf_TS5-plane6_20200213_000346/raw/,40,10,/nrs/ahrens/Ziqiang/Fish_Datasets/ZhangR/20200212/2_vglut2_GC6f_5dpf_TS5-plane6_20200213_000346/,True
72,True,Rongwei,20000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20191218,False,/nrs/ahrens/Rongwei/20200212/2_vglut2_GC6f_5dpf_TS6-plane5_20200213_001654/raw/,40,10,/nrs/ahrens/Ziqiang/Fish_Datasets/ZhangR/20200212/2_vglut2_GC6f_5dpf_TS6-plane5_20200213_001654/,True
73,True,En,1800,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20180208,False,/nrs/ahrens/En/lightsheet/h2b hind brain/20190920/fish1_ramp_6hz_20190920_014841/,40,40,/nrs/ahrens/En/lightsheet/h2b hind brain/20190920/fish1_ramp_6hz_20190920_014841/img_results/,False
74,True,Rongwei,20000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20191218,False,/nrs/ahrens/Rongwei/20200212/2_vglut2_GC6f_5dpf_TS7-plane4_20200213_002751/raw/,40,10,/nrs/ahrens/Ziqiang/Fish_Datasets/ZhangR/20200212/2_vglut2_GC6f_5dpf_TS7-plane4_20200213_002751/,True
75,True,Rongwei,20000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20191218,False,/nrs/ahrens/Rongwei/20200212/2_vglut2_GC6f_5dpf_TS8-plane3_20200213_003817/raw/,40,10,/nrs/ahrens/Ziqiang/Fish_Datasets/ZhangR/20200212/2_vglut2_GC6f_5dpf_TS8-plane3_20200213_003817/,True
76,True,Rongwei,20000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20191218,False,/nrs/ahrens/Rongwei/20200212/2_vglut2_GC6f_5dpf_TS9-plane2_20200213_004850/raw/,40,10,/nrs/ahrens/Ziqiang/Fish_Datasets/ZhangR/20200212/2_vglut2_GC6f_5dpf_TS9-plane2_20200213_004850/,True
77,True,Rongwei,20000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20191218,False,/nrs/ahrens/Rongwei/20200212/2_vglut2_GC6f_5dpf_TS10-plane1_20200213_005922/raw/,40,3,/nrs/ahrens/Ziqiang/Fish_Datasets/ZhangR/20200212/2_vglut2_GC6f_5dpf_TS10-plane1_20200213_005922/,True
78,True,Rongwei,20000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20191218,False,/nrs/ahrens/Rongwei/20200212/2_vglut2_GC6f_5dpf_TS11-plane0_20200213_011014/raw/,40,3,/nrs/ahrens/Ziqiang/Fish_Datasets/ZhangR/20200212/2_vglut2_GC6f_5dpf_TS11-plane0_20200213_011014/,True
79,True,Rongwei,20000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20191218,False,/nrs/ahrens/Rongwei/20200212/2_vglut2_GC6f_5dpf_TS12-plane10_20200213_012205/raw/,40,3,/nrs/ahrens/Ziqiang/Fish_Datasets/ZhangR/20200212/2_vglut2_GC6f_5dpf_TS12-plane10_20200213_012205/,True
80,True,Rongwei,20000,/nrs/ahrens/ahrenslab/Ziqiang/gainMat/gainMat20191218,False,/nrs/ahrens/Rongwei/20200212/2_vglut2_GC6f_5dpf_TS13-plane11_20200213_013249/raw/,40,3,/nrs/ahrens/Ziqiang/Fish_Datasets/ZhangR/20200212/2_vglut2_GC6f_5dpf_TS13-plane11_20200213_013249/,True
